name	pname	cityname	adname	address	location	lng	lat	rating	cost
福玖火锅自助(观音桥店)	重庆市	重庆市	江北区	建新东路28附18号光宇阳光海岸2层	106.540156,29.573570	106.55766585007548	29.574639200882807	3.5	47.00
金砂乌鱼府汤锅	重庆市	重庆市	江北区	滨江路368号金源时代购物广场灯巢入口5楼	106.524887,29.556711	106.55766585007548	29.574639200882807	3.5	72.00
川妹子青椒鱼	重庆市	重庆市	江北区	金渝大道136号康兴园8栋2单	106.580775,29.620681	106.55766585007548	29.574639200882807	3.5	54.00
杀牛场毛肚火锅	重庆市	重庆市	江北区	北城二路25号(近珠江太阳城)	106.562168,29.572631	106.55766585007548	29.574639200882807	3.5	65.00
毛儿老火锅(大顺商厦西北)	重庆市	重庆市	江北区	大石坝八村18号附1号	106.488030,29.570122	106.55766585007548	29.574639200882807	4.5	63.00
重庆鼻祖老火锅	重庆市	重庆市	江北区	五里店北滨路珠江太阳城58号	106.564595,29.570697	106.55766585007548	29.574639200882807	3.5	93.00
珮姐老火锅(九街店)	重庆市	重庆市	江北区	洋河东路9号附15号	106.545883,29.578967	106.55766585007548	29.574639200882807	4.5	107.00
渝美老火锅(红旗河沟店)	重庆市	重庆市	江北区	红黄路27号	106.527450,29.586238	106.55766585007548	29.574639200882807	4.0	52.00
爷爷那辈火锅(天邻风景店)	重庆市	重庆市	江北区	新南路390号石子山公园天邻风景小区南门商住楼1楼	106.491085,29.601268	106.55766585007548	29.574639200882807	3.5	83.00
黄姐火锅(万丰一路)	重庆市	重庆市	江北区	五里店黄泥村163-1	106.562001,29.575476	106.55766585007548	29.574639200882807	4.0	70.00
园福串串	重庆市	重庆市	江北区	玉祥小区2号附1号	106.491088,29.577644	106.55766585007548	29.574639200882807	3.5	36.00
尖儿货足球串串(盘溪店)	重庆市	重庆市	江北区	盘溪四支路40号(光华南桥人家对面)	106.484848,29.583366	106.55766585007548	29.574639200882807	3.5	36.00
正渝70年代老火锅(龙湖源著店)	重庆市	重庆市	江北区	大石坝组团B分区B3-4地块24幢1-1、1-2	106.485384,29.598982	106.55766585007548	29.574639200882807	3.5	65.00
鲁西肥牛(九街店)	重庆市	重庆市	江北区	北城天街46号九街高屋3层	106.543493,29.579679	106.55766585007548	29.574639200882807	4.5	72.00
万丰传统老火锅(万丰一路)	重庆市	重庆市	江北区	万丰二村19号	106.558763,29.578742	106.55766585007548	29.574639200882807	3.5	67.00
小米老火锅	重庆市	重庆市	江北区	海尔路蓝色经典小区2栋1层	106.564011,29.594742	106.55766585007548	29.574639200882807	3.5	[]
三娃子火锅	重庆市	重庆市	江北区	海尔路181号兰溪小区(近佳坊超市)	106.572881,29.610888	106.55766585007548	29.574639200882807	3.5	50.00
珮姐老火锅(北城天街店)	重庆市	重庆市	江北区	建北三支路52号1-2	106.531739,29.579228	106.55766585007548	29.574639200882807	4.5	101.00
宰牛场鲜毛肚老火锅(山水丽都店)	重庆市	重庆市	江北区	石马河山水丽都一门市2号	106.472789,29.580605	106.55766585007548	29.574639200882807	3.0	49.00
谭英雄鱼头火锅(江北洋河店)	重庆市	重庆市	江北区	建北三支路52号附1-1号	106.531596,29.579367	106.55766585007548	29.574639200882807	4.5	73.00
刚子火锅	重庆市	重庆市	江北区	海尔路599号江山名门a区2楼	106.621961,29.625886	106.55766585007548	29.574639200882807	3.5	[]
辣锅演绎老火锅(江北东原店)	重庆市	重庆市	江北区	大石坝东原新新PARK三期3/4号裙楼UG层36号	106.498311,29.571006	106.55766585007548	29.574639200882807	4.7	24.00
犇喫全牛老火锅	重庆市	重庆市	江北区	华新街华福路桥北村76号(轻轨站对面)	106.536586,29.563808	106.55766585007548	29.574639200882807	3.5	48.00
大嘴老火锅(南桥寺店)	重庆市	重庆市	江北区	盘溪路中医院康和苑4-2号(近则右门)	106.481433,29.593618	106.55766585007548	29.574639200882807	4.3	[]
重庆秦妈老火锅(望海店)	重庆市	重庆市	江北区	兴隆路36号附3号海洋之星C栋	106.539719,29.580532	106.55766585007548	29.574639200882807	4.0	60.00
龙湖鸭肠王火锅(北滨店)	重庆市	重庆市	江北区	北滨一路363号招商江湾城(近渝澳大桥)	106.537338,29.560025	106.55766585007548	29.574639200882807	4.0	95.00
镇三关(北滨店)	重庆市	重庆市	江北区	北滨一路鎏嘉码头商业街7区3层	106.560559,29.570198	106.55766585007548	29.574639200882807	4.0	142.00
乾矿老火锅(望海花园店)	重庆市	重庆市	江北区	望海花园9号附1-2号	106.542795,29.582296	106.55766585007548	29.574639200882807	4.5	85.00
重庆家福火锅	重庆市	重庆市	江北区	盘溪四支路阳光家园1号附近	106.483600,29.583806	106.55766585007548	29.574639200882807	3.5	57.00
龙门鼎老火锅(北滨店)	重庆市	重庆市	江北区	江湾广场附19-1号	106.536073,29.559312	106.55766585007548	29.574639200882807	3.5	68.00
沈家洪城老火锅(鱼嘴店)	重庆市	重庆市	江北区	鱼嘴镇和韵路47号附25、26、27号	106.757317,29.624827	106.55766585007548	29.574639200882807	3.5	50.00
鹅艺空间(洋河店)	重庆市	重庆市	江北区	黄泥洋河北路九鼎花园8号	106.539105,29.585203	106.55766585007548	29.574639200882807	4.5	63.00
渝味晓宇火锅旗舰店(洋河店)	重庆市	重庆市	江北区	洋河中路46号大虎老火锅隔壁	106.542794,29.583197	106.55766585007548	29.574639200882807	4.5	85.00
幺点子全牛油老火锅(南桥寺店)	重庆市	重庆市	江北区	健安路30号附4号	106.478996,29.587804	106.55766585007548	29.574639200882807	4.0	51.00
重庆齐齐火锅(唐家沱店)	重庆市	重庆市	江北区	海尔路胜利花园969号	106.653760,29.602057	106.55766585007548	29.574639200882807	4.0	73.00
藕然间(北环店)	重庆市	重庆市	江北区	龙山街道新南路390号	106.491104,29.601270	106.55766585007548	29.574639200882807	4.0	53.00
大虎老火锅(江北店)	重庆市	重庆市	江北区	洋河路56号附1号	106.542717,29.583368	106.55766585007548	29.574639200882807	4.0	90.00
渝宗(珠江太阳城店)	重庆市	重庆市	江北区	北城路76号附12号	106.562299,29.573049	106.55766585007548	29.574639200882807	4.5	94.00
家家老火锅(华新街直营店)	重庆市	重庆市	江北区	建新南路18号附72号	106.536903,29.565448	106.55766585007548	29.574639200882807	3.5	70.00
丰子老火锅(观音桥店)	重庆市	重庆市	江北区	中野路175号1-8(铂蓝江岸公馆1层)	106.536710,29.571027	106.55766585007548	29.574639200882807	4.5	61.00
渝洞天老火锅(九街店)	重庆市	重庆市	江北区	兴隆路36号附20号欧街	106.540785,29.580303	106.55766585007548	29.574639200882807	4.5	79.00
巴渝汉家火锅(东原店)	重庆市	重庆市	江北区	大石坝街道红原路133号	106.499044,29.569479	106.55766585007548	29.574639200882807	4.5	74.00
张老头焖锅鸡	重庆市	重庆市	江北区	观音桥街道鸿恩路181号附3号	106.510831,29.573713	106.55766585007548	29.574639200882807	3.5	35.00
三毛串串香(巴蜀城店)	重庆市	重庆市	江北区	[]	106.562992,29.589071	106.55766585007548	29.574639200882807	3.5	50.00
福鑫高照老火锅(五里店分店)	重庆市	重庆市	江北区	建新东路77号附7号	106.556641,29.578195	106.55766585007548	29.574639200882807	3.5	50.00
老基地主题火锅(北城天街店)	重庆市	重庆市	江北区	观音桥北城天街远东百货旁边	106.534276,29.579603	106.55766585007548	29.574639200882807	4.0	76.00
众缘鲜菜火锅	重庆市	重庆市	江北区	御庭苑5号附4号	106.561526,29.578725	106.55766585007548	29.574639200882807	3.5	58.00
德意火锅鱼	重庆市	重庆市	江北区	海尔路179-附47号附近	106.571278,29.606448	106.55766585007548	29.574639200882807	4.0	58.00
小天鹅火锅(龙湖重庆北城天街)	重庆市	重庆市	江北区	北城天街6、8、10号龙湖重庆北城天街F4层	106.533264,29.577088	106.55766585007548	29.574639200882807	4.0	94.00
金罗三老火锅(洋河中路店)	重庆市	重庆市	江北区	观音桥街道洋河中路96号邦兴渝珠花苑南门西40米(五秒刷乌鱼旁)	106.541033,29.583115	106.55766585007548	29.574639200882807	4.0	65.00
思微农场老火锅(五里店店)	重庆市	重庆市	江北区	5里店海尔路2号(五里店轻轨站3号出口前行100米)	106.562823,29.585626	106.55766585007548	29.574639200882807	3.5	59.00
醇缘老火锅(石马河直营店)	重庆市	重庆市	江北区	山水丽都1号附4-1	106.473016,29.580516	106.55766585007548	29.574639200882807	3.5	[]
可乐老火锅(郎晴店)	重庆市	重庆市	江北区	建新西路25号	106.532064,29.571499	106.55766585007548	29.574639200882807	4.0	57.00
